iter	Passed	Remaining
611	88030	41426
612	88132	41262
613	88247	41105
614	88359	40947
615	88470	40788
616	88571	40625
617	88674	40463
618	88768	40296
619	88888	40143
620	88982	39977
621	89164	39851
622	89293	39701
623	89418	39550
624	89520	39389
625	89633	39232
626	89739	39073
627	89848	38915
628	89999	38775
629	90084	38607
630	90163	38437
631	90272	38279
632	90376	38120
633	90464	37955
634	90574	37798
635	90669	37636
636	90755	37470
637	90874	37318
638	90993	37166
639	91107	37012
640	91219	36857
641	91311	36695
642	91401	36532
643	91505	36374
644	91609	36217
645	91720	36063
646	91805	35899
647	91906	35741
648	92011	35585
649	92115	35429
650	92218	35272
651	92336	35121
652	92457	34972
653	92527	34804
654	92685	34668
655	92806	34519
656	92896	34358
657	93008	34206
658	93124	34056
659	93218	33897
660	93339	33749
661	93441	33593
662	93530	33434
663	93638	33281
664	93782	33141
665	93897	32991
666	94001	32837
667	94093	32679
668	94185	32521
669	94290	32368
670	94395	32215
671	94507	32065
672	94600	31908
673	94700	31754
674	94794	31598
675	94908	31449
676	94998	31292
677	95101	31139
678	95225	30993
679	95321	30839
680	95454	30696
681	95548	30541
682	95648	30388
683	95766	30242
684	95880	30093
685	95981	29941
686	96089	29791
687	96193	29640
688	96286	29486
689	96385	29334
690	96481	29181
691	96584	29031
692	96697	28883
693	96833	28743
694	96964	28601
695	97071	28452
696	97209	28312
697	97412	28190
698	97659	28082
699	97986	27996
700	98140	27860
701	98259	27714
702	98398	27573
703	98506	27425
704	98608	27274
705	98690	27119
706	98775	26964
707	98874	26813
708	98985	26665
709	99082	26515
710	99202	26370
711	99292	26217
712	99373	26062
713	99481	25915
714	99566	25761
715	99684	25617
716	99762	25462
717	99859	25312
718	99956	25162
719	100046	25011
720	100158	24866
721	100259	24717
722	100368	24571
723	100466	24422
724	100558	24272
725	100658	24124
726	100753	23975
727	100874	23832
728	100958	23681
729	101056	23533
730	101151	23385
731	101233	23233
732	101349	23090
733	101442	22942
734	101528	22792
735	101654	22651
736	101751	22503
737	101841	22355
738	101950	22211
739	102046	22064
740	102162	21921
741	102263	21775
742	102367	21630
743	102455	21482
744	102549	21335
745	102652	21190
746	102770	21049
747	102864	20902
748	102975	20760
749	103069	20613
750	103174	20470
751	103251	20320
752	103366	20179
753	103469	20035
754	103564	19889
755	103647	19742
756	103745	19597
757	103854	19455
758	103950	19311
759	104072	19171
760	104170	19027
761	104268	18883
762	104359	18738
763	104455	18594
764	104538	18447
765	104664	18309
766	104768	18167
767	104873	18025
768	104989	17885
769	105108	17745
770	105237	17607
771	105342	17466
772	105440	17323
773	105564	17184
774	105652	17040
775	105752	16898
776	105844	16755
777	105950	16614
778	106048	16472
779	106166	16333
780	106266	16191
781	106391	16054
782	106519	15916
783	106617	15774
784	106705	15632
785	106857	15498
786	107128	15381
787	107356	15258
788	107455	15117
789	107589	14980
790	107713	14842
791	107826	14703
792	107939	14564
793	108071	14427
794	108188	14289
795	108301	14149
796	108407	14010
797	108498	13868
798	108600	13727
799	108693	13586
800	108836	13451
801	108926	13310
802	109057	13173
803	109167	13034
804	109282	12896
805	109386	12757
806	109474	12616
807	109573	12476
808	109701	12339
809	109811	12201
810	109928	12063
811	110032	11924
812	110164	11788
813	110257	11648
814	110372	11511
815	110464	11371
816	110580	11234
817	110693	11096
818	110804	10958
819	110929	10822
820	111010	10681
821	111118	10544
822	111205	10404
823	111312	10266
824	111410	10128
825	111500	9989
826	111608	9851
827	111710	9713
828	111799	9575
829	111914	9438
830	112027	9301
831	112130	9164
832	112215	9025
833	112295	8886
834	112389	8748
835	112490	8611
836	112590	8474
837	112718	8339
838	112814	8202
839	112916	8065
840	113043	7930
841	113157	7794
842	113247	7657
843	113325	7519
844	113435	7383
845	113555	7248
846	113646	7111
847	113757	6975
848	113853	6839
849	113954	6703
850	114066	6567
851	114184	6432
852	114293	6297
853	114399	6162
854	114487	6025
855	114603	5890
856	114699	5755
857	114801	5619
858	114913	5484
859	115016	5349
860	115099	5213
861	115208	5078
862	115296	4943
863	115380	4807
864	115494	4673
865	115592	4538
866	115689	4403
867	115775	4268
868	115871	4133
869	115967	3998
870	116055	3864
871	116116	3728
872	116197	3593
873	116273	3458
874	116365	3324
875	116490	3191
876	116610	3058
877	116693	2923
878	116777	2789
879	116881	2656
880	116966	2522
881	117047	2388
882	117149	2255
883	117246	2122
884	117350	1988
885	117434	1855
886	117531	1722
887	117672	1590
888	117805	1457
889	117888	1324
890	117985	1191
891	118083	1059
892	118183	926
893	118290	793
894	118391	661
895	118515	529
896	118608	396
897	118690	264
898	118789	132
899	118886	0
